id,brand,model,url,type,formfactor,platform,library,width,height,v,i,w,dependency,category,portname,porttype,functiontype,functionpintype,v_min,v_max,x,y,connectivity,compatibility,action,param,min,max,unit,constraint,value,valuemin,valuemax,valueunit,valueconstraint,count
Grove-113020010,SeeedStudio,Grove - Uart Wifi,https://www.seeedstudio.com/s/Grove-Uart-Wifi-p-2495.html,PERIPHERAL,GROVE,ARDUINO,MP_Blynk_ESP8266,128,148,,,,,,VIN,GROVE,POWER,VCC,3.3,3.3,14.5,69,,Blynk,Push data,Virtual Pin,,,,0,,,,,,
,,,,,,,Blynk,,,,,,,,GND,GROVE,POWER,GND,3.3,3.3,28.9,69,,,,,,,,1,,,,,,
,,,,,,,BlynkESP8266_Lib,,,,,,,,RX,GROVE,GPIO_1,INOUT,3.3,3.3,43.3,69,GPIO_1,,,,,,,2,,,,,,
,,,,,,,,,,,,,,,TX,GROVE,GPIO_2,INOUT,3.3,3.3,57.7,69,GPIO_2,,,,,,,3,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,Data,-32768,32767,NUMBER,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,Push value,Virtual Pin,,,,0,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,Value,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,Check value,Virtual Pin,,,,0,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,Data,-32768,32767,NUMBER,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,Compare,,,,,,VirtualPin0,-32768,32767,NOT_SPECIFIED,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,VirtualPin1,-32768,32767,NOT_SPECIFIED,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,VirtualPin2,-32768,32767,NOT_SPECIFIED,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,VirtualPin3,-32768,32767,NOT_SPECIFIED,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,VirtualPin4,-32768,32767,NOT_SPECIFIED,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,VirtualPin5,-32768,32767,NOT_SPECIFIED,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,VirtualPin6,-32768,32767,NOT_SPECIFIED,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,VirtualPin7,-32768,32767,NOT_SPECIFIED,,
